object,object_type,reason,decision
awqaf_community_document_evidence_links,base_table,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
community_waqf_crud_audit,base_table,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
community_waqf_evidence,base_table,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
community_waqf_evidence_documents,base_table,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
community_waqf_portion_documents,base_table,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
community_waqf_portions,base_table,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
core_communities,base_table,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
core_communities_names,base_table,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
core_governorates,base_table,governorate/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
core_governorates_names,base_table,governorate/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
core_lgus,base_table,lgu/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
core_lgus_names,base_table,lgu/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
governorate_code_map,base_table,governorate/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
governorates,base_table,governorate/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
org_unit_profiles,base_table,org unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
org_units,base_table,org unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
org_units_cache,base_table,org unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
pwf_org_units_cache,base_table,org unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
stg_community_waqf_excel_raw,base_table,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
stg_community_waqf_excel_raw_v2,base_table,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
stg_community_waqf_legacy_import,base_table,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_communities,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_community_waqf_evidence_audit,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_community_waqf_evidence_crud_review,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_community_waqf_evidence_duplicate_audit,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_community_waqf_excel_authoritative_superseded,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_community_waqf_portions_crud_review,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_community_waqf_portions_summary,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_geo_audit_communities_missing_wakf_status,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_geo_audit_communities_wakf_status_conflicts,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_geo_audit_communities_wakf_status_lineage_candidates,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_geo_reconciliation_audit_communities,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_geo_reconciliation_audit_governorates,view,governorate/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_geo_reconciliation_audit_lgus,view,lgu/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_governorates,view,governorate/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_home_units,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_lgus,view,lgu/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_lgus_inherited_waqf_lineage,view,lgu/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_org_units,view,org unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_stg_community_waqf_unprocessed,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
v_unit_profile,view,unit/reference,read_from_core_or_safe_wrapper_do_not_duplicate_as_truth
