object,schemas,schema_count,decision
assettypes,"public,waqf",2,resolve_owner_before_using_do_not_copy_public_as_truth
awqaf_community_document_evidence_links,"core,public",2,resolve_owner_before_using_do_not_copy_public_as_truth
awqaf_reference_waqf_links,"public,waqf",2,resolve_owner_before_using_do_not_copy_public_as_truth
awqaf_system_unit_pages,"awqaf_system,public",2,resolve_owner_before_using_do_not_copy_public_as_truth
historical_admin_units,"hist,public",2,resolve_owner_before_using_do_not_copy_public_as_truth
org_unit_profiles,"core,public",2,resolve_owner_before_using_do_not_copy_public_as_truth
org_units,"core,public",2,resolve_owner_before_using_do_not_copy_public_as_truth
org_units_cache,"core,public",2,resolve_owner_before_using_do_not_copy_public_as_truth
pwf_org_units_cache,"core,public",2,resolve_owner_before_using_do_not_copy_public_as_truth
user_scope_assignment_units,"platform_access,public",2,resolve_owner_before_using_do_not_copy_public_as_truth
waqf_asset_source_records,"awqaf_system,waqf",2,resolve_owner_before_using_do_not_copy_public_as_truth
waqf_community_lineage,"public,topology",2,resolve_owner_before_using_do_not_copy_public_as_truth
waqf_lands,"public,waqf",2,resolve_owner_before_using_do_not_copy_public_as_truth
