source,target,references_core,references_waqf,references_awqaf_system
awqaf_system.awqaf_system_unit_pages.unit_id,core.org_units.id,True,False,False
awqaf_system.user_unit_scopes.role_key,awqaf_system.access_roles.role_key,False,False,True
awqaf_system.waqf_assets_approval_events.queue_id,awqaf_system.waqf_assets_development_queue.id,False,False,True
cases.cases.waqf_land_id,waqf.waqf_lands.id,False,True,False
cms.unit_activities.unit_id,core.org_units.id,True,False,False
cms.unit_documents.unit_id,core.org_units.id,True,False,False
cms.unit_news.unit_id,core.org_units.id,True,False,False
cms.unit_services.unit_id,core.org_units.id,True,False,False
complaints.pwf_complaint_attachments.unit_id,core.org_units.id,True,False,False
complaints.pwf_complaint_updates.unit_id,core.org_units.id,True,False,False
complaints.pwf_complaints.unit_id,core.org_units.id,True,False,False
complaints.pwf_complaints_retention_policies.unit_id,core.org_units.id,True,False,False
core.community_waqf_evidence.community_no,core.core_communities.community_no,True,False,False
core.community_waqf_evidence.lgu_no,core.core_lgus.lgus_no,True,False,False
core.community_waqf_evidence.portion_id,core.community_waqf_portions.id,True,False,False
core.community_waqf_evidence_documents.evidence_id,core.community_waqf_evidence.id,True,False,False
core.community_waqf_portion_documents.portion_id,core.community_waqf_portions.id,True,False,False
core.community_waqf_portions.community_no,core.core_communities.community_no,True,False,False
core.core_communities.governorate_no,core.core_governorates.governorate_no,True,False,False
core.core_lgus.community_no,core.core_communities.community_no,True,False,False
core.org_unit_profiles.unit_id,core.org_units.id,True,False,False
core.org_units.governorate_id,core.core_governorates.id,True,False,False
core.org_units.parent_id,core.org_units.id,True,False,False
hist.land_admin_history.land_id,waqf.waqf_lands.id,False,True,False
legacy_quarantine.intelligentrecommendations.asset_id,waqf.waqf_lands.id,False,True,False
media_center.activities.unit_id,core.org_units.id,True,False,False
media_center.announcements.unit_id,core.org_units.id,True,False,False
media_center.media_gallery_items.unit_id,core.org_units.id,True,False,False
media_center.news_articles.unit_id,core.org_units.id,True,False,False
media_center.social_notices.unit_id,core.org_units.id,True,False,False
ministry_profile.former_ministers.unit_id,core.org_units.id,True,False,False
ministry_profile.pwf_former_ministers.unit_id,core.org_units.id,True,False,False
platform_access.admin_users.unit_id,core.org_units.id,True,False,False
platform_access.user_scope_assignment_units.unit_id,core.org_units.id,True,False,False
platform_access.user_scope_assignments.unit_id,core.org_units.id,True,False,False
platform_content.site_pages.unit_id,core.org_units.id,True,False,False
platform_experience.breaking_news.unit_id,core.org_units.id,True,False,False
platform_experience.footer_settings.unit_id,core.org_units.id,True,False,False
platform_experience.header_settings.unit_id,core.org_units.id,True,False,False
platform_experience.hero_slides.unit_id,core.org_units.id,True,False,False
platform_experience.homepage_sections.unit_id,core.org_units.id,True,False,False
platform_services.appointments.related_waqf_id,waqf.waqf_lands.id,False,True,False
platform_services.servicepoints.asset_id,waqf.waqf_lands.id,False,True,False
public.chatbot_conversations.unit_id,core.org_units.id,True,False,False
public.chatbot_messages.unit_id,core.org_units.id,True,False,False
public.chatbot_retention_policies.unit_id,core.org_units.id,True,False,False
tasks.tasks.waqf_land_id,waqf.waqf_lands.id,False,True,False
waqf.endowment_supervision_assignments.org_unit_id,core.org_units.id,True,False,False
waqf.endowment_supervision_assignments.scope_org_unit_id,core.org_units.id,True,False,False
waqf.waqf_asset_beneficiaries.endowment_id,waqf.endowment_names.id,False,True,False
waqf.waqf_asset_cross_system_bindings.waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_deed_documents.endowment_id,waqf.endowment_names.id,False,True,False
waqf.waqf_asset_documents.waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_duplicate_candidates.matched_source_record_id,waqf.waqf_asset_source_records.id,False,True,False
waqf.waqf_asset_duplicate_candidates.possible_waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_duplicate_candidates.source_record_id,waqf.waqf_asset_source_records.id,False,True,False
waqf.waqf_asset_endowers.endower_id,waqf.endowers.id,False,True,False
waqf.waqf_asset_endowers.endowment_id,waqf.endowment_names.id,False,True,False
waqf.waqf_asset_field_visits.waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_geometries.waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_intake_rejections.source_batch_id,waqf.waqf_asset_registry_batches.id,False,True,False
waqf.waqf_asset_notes.waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_parcel_links.waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_rbac_assignments.permission_code,waqf.waqf_asset_rbac_permissions.permission_code,False,True,False
waqf.waqf_asset_relationships.source_waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_relationships.target_waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_review_events.waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_source_parcel_match_candidates.source_batch_id,waqf.waqf_asset_registry_batches.id,False,True,False
waqf.waqf_asset_source_parcel_match_candidates.source_record_id,waqf.waqf_asset_source_records.id,False,True,False
waqf.waqf_asset_source_records.candidate_waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_source_records.source_batch_id,waqf.waqf_asset_registry_batches.id,False,True,False
waqf.waqf_asset_status_history.waqf_asset_id,waqf.waqf_assets.id,False,True,False
waqf.waqf_asset_supervision_assignments.endowment_id,waqf.endowment_names.id,False,True,False
waqf.waqf_asset_supervision_assignments.org_unit_id,core.org_units.id,True,False,False
waqf.waqf_asset_supervision_assignments.scope_org_unit_id,core.org_units.id,True,False,False
