lgu_id,lgus_no,lgu_code,lgu_name_ar,city_status,candidate_directorate,candidate_directorate_uuid,evidence_source,evidence_type,confidence,authority_decision,authority_directorate_uuid,authority_directorate_label,authority_reference,authority_effective_date,authority_reviewer,authority_reviewed_at,authority_note,load_eligible
c7c11709-803e-4542-968e-8c4b7957b7a7,16,H020-16,بيت كاحل,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,LOW,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
fceb4011-09f3-45ea-93b7-4c702f592adb,17,H012-17,صوريف,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_SURIF_MUNICIPAL_DIRECT_RELATION_2018,DIRECT_MUNICIPAL_INSTITUTIONAL_RELATION,MEDIUM,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
2da12a45-5ad5-4b85-9442-e40e46fdf725,18,H022-18,نوبا,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_NUBA_GOVERNMENT_AWQAF_REPORT_2025,CURRENT_GOVERNMENT_AWQAF_INTERVENTION_CONTEXT,HIGH,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
8a7b2bcd-3fd3-4ec4-aee6-bf0ecb83bf4c,19,H013-19,بيت اولا,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_BEIT_ULA_2025_AYYAM,DIRECT_CURRENT_DIRECTORATE_OPERATION,HIGH,APPROVED,04f19f65-5e0c-47df-b897-9dd88152ea6c,North Hebron,SRC_NH_BEIT_ULA_2025_AYYAM,2026-09-20,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Approved by authorized organizational review based on direct authority evidence matrix.,true
76936253-7d3b-4e17-acb6-f1a74ceb87c5,20,H005-20,حلحول,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_HALHUL_2018,DIRECT_AWQAF_OPERATIONAL_EVIDENCE,HIGH,APPROVED,04f19f65-5e0c-47df-b897-9dd88152ea6c,North Hebron,SRC_NH_HALHUL_2018,2026-09-20,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Approved by authorized organizational review based on direct authority evidence matrix.,true
9ce7a00e-ac84-490e-9478-6eaeb0a71f7b,21,H008-21,اذنا,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,LOW,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
627d1c9f-4aa6-43fd-95a7-4e3bd0d7f195,22,H009-22,سعير,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,MEDIUM,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
6dd6e106-6aa0-4464-9497-10a35a912289,23,H006-23,بني نعيم,موجوده,North Hebron,04f19f65-5e0c-47df-b897-9dd88152ea6c,SRC_BANI_NAIM_HEBRON_AWQAF_2013_PRE_NORTH_DIRECTORATE,HISTORICAL_PRE_REORGANIZATION_DIRECT_OPERATION,MEDIUM,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
afca995d-86d0-4b45-a9d0-d40d63ea3509,24,H058-24,البويب,موجوده,,,,,NONE,NEEDS_REVIEW,,,,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Not approved: evidence remains supporting-only or unresolved; fail-closed.,false
f295f8a9-34ba-494e-b653-8c0521f68549,25,H010-25,ترقوميا,موجوده,Hebron,8e0238db-2e20-49d4-8cf2-db7c376d512b,SRC_HEBRON_TARQUMIYA_2022_DIRECTORATE_RESTORATION,DIRECT_CURRENT_AWQAF_OPERATIONAL_EVIDENCE,HIGH,APPROVED,8e0238db-2e20-49d4-8cf2-db7c376d512b,Hebron,SRC_HEBRON_TARQUMIYA_2022_DIRECTORATE_RESTORATION,2026-09-20,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20,Approved by authorized organizational review based on direct authority evidence matrix.,true
