lgu_id,lgus_no,lgu_code,lgu_name_ar,city_status,candidate_directorate,evidence_source,evidence_type,confidence,authority_verified,decision
c7c11709-803e-4542-968e-8c4b7957b7a7,16,H020-16,بيت كاحل,موجوده,North Hebron,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,LOW,false,SUPPORTING_EVIDENCE_ONLY
fceb4011-09f3-45ea-93b7-4c702f592adb,17,H012-17,صوريف,موجوده,North Hebron,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,MEDIUM,false,SUPPORTING_EVIDENCE_ONLY
2da12a45-5ad5-4b85-9442-e40e46fdf725,18,H022-18,نوبا,موجوده,North Hebron,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,MEDIUM,false,SUPPORTING_EVIDENCE_ONLY
8a7b2bcd-3fd3-4ec4-aee6-bf0ecb83bf4c,19,H013-19,بيت اولا,موجوده,North Hebron,SRC_NH_BEIT_ULA_2025_AYYAM,DIRECT_CURRENT_DIRECTORATE_OPERATION,HIGH,true,AUTHORITY_VERIFIED
76936253-7d3b-4e17-acb6-f1a74ceb87c5,20,H005-20,حلحول,موجوده,North Hebron,SRC_NH_HALHUL_2018,DIRECT_AWQAF_OPERATIONAL_EVIDENCE,HIGH,true,AUTHORITY_VERIFIED
9ce7a00e-ac84-490e-9478-6eaeb0a71f7b,21,H008-21,اذنا,موجوده,North Hebron,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,LOW,false,SUPPORTING_EVIDENCE_ONLY
627d1c9f-4aa6-43fd-95a7-4e3bd0d7f195,22,H009-22,سعير,موجوده,North Hebron,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,MEDIUM,false,SUPPORTING_EVIDENCE_ONLY
6dd6e106-6aa0-4464-9497-10a35a912289,23,H006-23,بني نعيم,موجوده,North Hebron,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,MEDIUM,false,SUPPORTING_EVIDENCE_ONLY
afca995d-86d0-4b45-a9d0-d40d63ea3509,24,H058-24,البويب,موجوده,,,,NONE,false,UNRESOLVED_FAIL_CLOSED
f295f8a9-34ba-494e-b653-8c0521f68549,25,H010-25,ترقوميا,موجوده,Hebron,SRC_HEBRON_TARQUMIYA_2015_MOSQUE_OPENING,HISTORICAL_DIRECT_OPERATION,MEDIUM,false,SUPPORTING_EVIDENCE_ONLY
7eff564a-7fbe-42d9-ae6a-9fefb7e2eb5e,26,H014-26,تفوح,موجوده,North Hebron,SRC_NH_SERVICE_COUNCIL_2010,REGIONAL_INSTITUTIONAL_SUPPORT,LOW,false,SUPPORTING_EVIDENCE_ONLY
f4daa9a4-4b8f-4166-8f17-a2018985752d,27,H002-27,يطا,موجوده,Yatta,SRC_YATTA_PLAN_2023_2026,DIRECT_AWQAF_OPERATIONAL_EVIDENCE,HIGH,true,AUTHORITY_VERIFIED
bd13d5bf-b3fe-49ea-ba4e-483d7ab98e32,28,H007-28,السموع,موجوده,,,,NONE,false,UNRESOLVED_FAIL_CLOSED
c8801611-6b8c-487e-a084-c8efdc87ad88,29,H004-29,دورا,موجوده,South Hebron,SRC_SH_DURA_HQ_2019,DIRECT_ORGANIZATIONAL_IDENTITY_EVIDENCE,HIGH,true,AUTHORITY_VERIFIED
4d207532-6317-457d-aafb-8ca884ac70ed,30,H018-30,خاراس,موجوده,North Hebron,SRC_NH_KHARAS_2025_GOV_REPORT,DIRECT_CURRENT_DIRECTORATE_OPERATION,HIGH,true,AUTHORITY_VERIFIED
3c60abd5-4d1a-4db1-b298-b374b30f36f0,31,H137-31,جمروره,<NULL>,,,,NONE,false,STATUS_REVIEW_REQUIRED
fbc9c151-cc86-4605-8587-18f44b8606f6,32,H026-32,الرماضين,موجوده,,,,NONE,false,UNRESOLVED_FAIL_CLOSED
c2b158a7-a020-431f-9914-6ac2c78fda0e,33,H001-33,الخليل,موجوده,Hebron,SRC_CORE_HEBRON_PROFILE,CANONICAL_IDENTITY_ONLY,HIGH,false,SUPPORTING_EVIDENCE_ONLY
3ee44241-6ec0-4679-bb87-5cd62f99742d,34,H011-34,بيت امر,موجوده,North Hebron,SRC_NH_BEIT_UMMAR_2023_DIRECTORATE_ACTION,DIRECT_CURRENT_DIRECTORATE_OPERATION,HIGH,true,AUTHORITY_VERIFIED
9866c853-55b8-432b-8763-9d0b3a4d8550,35,H003-35,الظاهريه,موجوده,South Hebron,SRC_SH_DHAHIRIYA_2025_DIRECTORATE_POST,DIRECT_CURRENT_DIRECTORATE_OPERATION,HIGH,true,AUTHORITY_VERIFIED
